Date,Stock_1,Prob_1,Weight_1,Stock_2,Prob_2,Weight_2,Turnover,Gross_Return,Net_Return
2023-01-06,META,0.5595530797344506,0.5,BRK-B,0.5566064382166296,0.5,1.0,0.025117798564321447,0.024117798564321447
2023-01-13,AMZN,0.6950967333429309,0.5,JPM,0.5929454365301783,0.5,2.0,-0.03215870092282147,-0.03415870092282147
2023-01-20,AMZN,0.5930945745039637,0.5,TSLA,0.5861057308294624,0.5,1.0,0.19234715271267333,0.19134715271267333
2023-01-27,AMZN,0.6031126394797022,0.5,GOOGL,0.5912752571631129,0.5,1.0,0.03284540925146895,0.03184540925146895
2023-02-03,AMZN,0.6011328473616298,0.5,TSLA,0.5932550492811854,0.5,1.0,-0.009766272552008126,-0.010766272552008127
2023-02-10,TSLA,0.5892674740936552,0.5,MSFT,0.5726109026815646,0.5,1.0,0.020651194102840942,0.01965119410284094
2023-02-17,MSFT,0.5890761665272277,0.5,GOOGL,0.578347593573678,0.5,1.0,-0.04479076197898424,-0.04579076197898424
2023-02-24,MSFT,0.592365091221289,0.5,TSLA,0.5841478539131425,0.5,1.0,0.01448899682157434,0.01348899682157434
2023-03-03,MSFT,0.5899310792736674,0.5,JPM,0.5851491404197954,0.5,1.0,-0.047961677467945385,-0.048961677467945386
2023-03-10,BRK-B,0.6075033678009518,0.5,TSLA,0.6003759645509815,0.5,2.0,0.0026212036369500646,0.0006212036369500646
2023-03-17,TSLA,0.6255673096292467,0.5,GOOGL,0.5573226293709074,0.5,1.0,0.0473304634559768,0.0463304634559768
2023-03-24,AMZN,0.5950743666220362,0.5,MSFT,0.5790047767687495,0.5,2.0,0.04006715341909228,0.03806715341909228
2023-03-31,GOOGL,0.6229977431822474,0.5,MSFT,0.5930945745039637,0.5,1.0,0.028329958953825174,0.027329958953825173
2023-04-07,META,0.601649360696475,0.5,GOOGL,0.5992071543092913,0.5,1.0,0.014546248948048679,0.013546248948048678
2023-04-14,AAPL,0.6247239901862567,0.5,TSLA,0.5973872737895038,0.5,2.0,-0.054412951018754985,-0.056412951018754987
2023-04-21,BRK-B,0.6088310937891986,0.5,AAPL,0.5892979570634884,0.5,1.0,0.02062514625930123,0.01962514625930123
2023-04-28,AAPL,0.5949508448846861,0.5,TSLA,0.5642885676279938,0.5,1.0,0.028960236373071435,0.027960236373071434
2023-05-05,TSLA,0.6274982349386447,0.5,META,0.6016708616438511,0.5,1.0,-0.0039030657503396626,-0.004903065750339663
2023-05-12,MSFT,0.6065853121123737,0.5,META,0.5999158186076333,0.5,1.0,0.04158788155265303,0.04058788155265303
2023-05-19,AAPL,0.6426114305879507,0.5,TSLA,0.6108416215369789,0.5,2.0,0.03693707276976754,0.03493707276976754
2023-05-26,AAPL,0.6033114363990252,0.5,META,0.6010819570014564,0.5,1.0,0.03590146867590571,0.03490146867590571
2023-06-02,GOOGL,0.6087943024426389,0.5,META,0.5975368064997841,0.5,1.0,-0.0238351367412587,-0.0248351367412587
